Região - Sigla	Estado - Sigla	Município	Revenda	CNPJ da Revenda	Produto	Data da Coleta	Valor de Venda	Valor de Compra	Unidade de Medida	Bandeira
CO	DF	BRASILIA		ABRITTA POSTOS DE SERVIÇOS LTDA	10668863000195	DIESEL	16/01/2019	3,799	3,2166	R$ / litro	RAIZEN
CO	DF	BRASILIA		ABRITTA POSTOS DE SERVIÇOS LTDA	10668863000195	DIESEL	23/01/2019	3,799		R$ / litro	RAIZEN
CO	DF	BRASILIA		AGUAS CLARAS POSTO DE SERVICOS LTDA	06006437000119	DIESEL	16/01/2019	3,799	3	R$ / litro	BRANCA
CO	DF	BRASILIA		AM COMERCIAL DE COMBUSTIVEIS LTDA	08215644000109	DIESEL S10	08/01/2019	3,767		R$ / litro	PETROBRAS DISTRIBUIDORA S.A.
